ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,66,12.TXT,0.57068,0.24510,0.34292,3

ROUGE-1+StopWordRemoval+Stemming,66,12.TXT,0.65542,0.15933,0.25634,3

ROUGE-2+StopWordRemoval+Stemming,66,12.TXT,0.25943,0.05406,0.08948,3

ROUGE-SU4+StopWordRemoval+Stemming,66,12.TXT,0.36777,0.07789,0.12855,3

ROUGE-L+StopWordRemoval+Stemming,67,6.TXT,0.54161,0.28625,0.37454,3

ROUGE-1+StopWordRemoval+Stemming,67,6.TXT,0.63286,0.21396,0.31981,3

ROUGE-2+StopWordRemoval+Stemming,67,6.TXT,0.27217,0.07596,0.11877,3

ROUGE-SU4+StopWordRemoval+Stemming,67,6.TXT,0.38431,0.09514,0.15253,3

ROUGE-L+StopWordRemoval+Stemming,130,21.TXT,0.45164,0.22517,0.30051,4

ROUGE-1+StopWordRemoval+Stemming,130,21.TXT,0.59936,0.24412,0.34693,4

ROUGE-2+StopWordRemoval+Stemming,130,21.TXT,0.24678,0.08333,0.12459,4

ROUGE-SU4+StopWordRemoval+Stemming,130,21.TXT,0.34409,0.11824,0.17600,4

ROUGE-L+StopWordRemoval+Stemming,131,25.TXT,0.53948,0.21088,0.30323,4

ROUGE-1+StopWordRemoval+Stemming,131,25.TXT,0.64882,0.16373,0.26148,4

ROUGE-2+StopWordRemoval+Stemming,131,25.TXT,0.27056,0.06340,0.10273,4

ROUGE-SU4+StopWordRemoval+Stemming,131,25.TXT,0.38292,0.08575,0.14012,4

ROUGE-L+StopWordRemoval+Stemming,110,17.TXT,0.61990,0.22647,0.33174,3

ROUGE-1+StopWordRemoval+Stemming,110,17.TXT,0.72057,0.15623,0.25679,3

ROUGE-2+StopWordRemoval+Stemming,110,17.TXT,0.31825,0.05938,0.10008,3

ROUGE-SU4+StopWordRemoval+Stemming,110,17.TXT,0.46737,0.07956,0.13598,3

ROUGE-L+StopWordRemoval+Stemming,132,24.TXT,0.00000,NaN,0.00000,4

ROUGE-1+StopWordRemoval+Stemming,132,24.TXT,0.00000,0.00000,0.00000,4

ROUGE-2+StopWordRemoval+Stemming,132,24.TXT,0.00000,0.00000,0.00000,4

ROUGE-SU4+StopWordRemoval+Stemming,132,24.TXT,0.00000,0.00000,0.00000,4

ROUGE-L+StopWordRemoval+Stemming,111,20.TXT,0.63351,0.19038,0.29277,3

ROUGE-1+StopWordRemoval+Stemming,111,20.TXT,0.73965,0.12564,0.21480,3

ROUGE-2+StopWordRemoval+Stemming,111,20.TXT,0.34355,0.04933,0.08628,3

ROUGE-SU4+StopWordRemoval+Stemming,111,20.TXT,0.50164,0.05815,0.10423,3

ROUGE-L+StopWordRemoval+Stemming,118,18.TXT,0.51562,0.19857,0.28672,3

ROUGE-1+StopWordRemoval+Stemming,118,18.TXT,0.62442,0.21640,0.32141,3

ROUGE-2+StopWordRemoval+Stemming,118,18.TXT,0.32066,0.08333,0.13229,3

ROUGE-SU4+StopWordRemoval+Stemming,118,18.TXT,0.46357,0.10910,0.17662,3

ROUGE-L+StopWordRemoval+Stemming,92,10.TXT,0.50784,0.19532,0.28213,3

ROUGE-1+StopWordRemoval+Stemming,92,10.TXT,0.66316,0.17177,0.27286,3

ROUGE-2+StopWordRemoval+Stemming,92,10.TXT,0.23756,0.05409,0.08812,3

ROUGE-SU4+StopWordRemoval+Stemming,92,10.TXT,0.35774,0.08579,0.13840,3

ROUGE-L+StopWordRemoval+Stemming,93,13.TXT,0.46608,0.24092,0.31764,3

ROUGE-1+StopWordRemoval+Stemming,93,13.TXT,0.58552,0.30097,0.39758,3

ROUGE-2+StopWordRemoval+Stemming,93,13.TXT,0.25761,0.12988,0.17269,3

ROUGE-SU4+StopWordRemoval+Stemming,93,13.TXT,0.37174,0.16037,0.22408,3

ROUGE-L+StopWordRemoval+Stemming,72,8.TXT,0.48474,0.31783,0.38393,3

ROUGE-1+StopWordRemoval+Stemming,72,8.TXT,0.43300,0.30860,0.36037,3

ROUGE-2+StopWordRemoval+Stemming,72,8.TXT,0.25372,0.11584,0.15905,3

ROUGE-SU4+StopWordRemoval+Stemming,72,8.TXT,0.30234,0.15467,0.20465,3

ROUGE-L+StopWordRemoval+Stemming,73,9.TXT,0.45026,0.39736,0.42216,3

ROUGE-1+StopWordRemoval+Stemming,73,9.TXT,0.53502,0.40946,0.46389,3

ROUGE-2+StopWordRemoval+Stemming,73,9.TXT,0.22021,0.16598,0.18929,3

